State,Municipality,Institute,Offered_places,Applications_First_Entry_Male,Applications_First_Entry_Female,Applications_First_Entry_Total,First_Entry_Male,First_Entry_Female,First_Entry_Total,Enrollment_Male,Enrollment_women,Enrollment_Total,All_Graduate_Male,All_Graduate_Female,All_Graduate,Graduate_with_Diploma_Male,Graduate_with_Diploma_Female,Graduate_with_Diploma_Total,Count,period,modality
AGUASCALIENTES,AGUASCALIENTES,CENTRO UNIVERSITARIO BRITÁNICO DE MÉXICO,9000.0,200.0,356.0,556.0,200.0,356.0,556.0,373.0,636.0,1009.0,11.0,13.0,24.0,0.0,0.0,0.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,CENTRO UNIVERSITARIO GALILEA,45.0,9.0,9.0,18.0,9.0,9.0,18.0,29.0,22.0,51.0,7.0,11.0,18.0,12.0,21.0,33.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,CENTRO UNIVERSITARIO INTERNACIONAL DE MÉXICO,70.0,15.0,2.0,17.0,17.0,0.0,17.0,35.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,ESCUELA NORMAL GUADALUPE VICTORIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,20.0,3.0,30.0,33.0,3.0,30.0,33.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,109.0,26.0,12.0,38.0,68.0,41.0,109.0,351.0,232.0,583.0,64.0,46.0,110.0,64.0,46.0,110.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,INSTITUTO UNIVERSITARIO DEL CENTRO DE MÉXICO,47.0,21.0,26.0,47.0,21.0,26.0,47.0,108.0,131.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,TECNOLÓGICO PROFESIONAL EN HOTELERÍA Y RESTAURANTES HUGO ALBERTO MEDRANO PARADA,30.0,7.0,11.0,18.0,7.0,11.0,18.0,28.0,27.0,55.0,6.0,5.0,11.0,0.0,0.0,0.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,UNIVERSIDAD DE DURANGO,102.0,82.0,49.0,131.0,63.0,33.0,96.0,83.0,58.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,UNIVERSIDAD DE ESTUDIOS AVANZADOS,620.0,245.0,345.0,590.0,178.0,307.0,485.0,440.0,797.0,1237.0,80.0,144.0,224.0,59.0,108.0,167.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,"UNIVERSIDAD DE LEÓN, PLANTEL AGUASCALIENTES",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,8.0,2.0,10.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,UNIVERSIDAD DEL DESARROLLO PROFESIONAL,150.0,72.0,78.0,150.0,37.0,61.0,98.0,224.0,455.0,679.0,40.0,128.0,168.0,13.0,38.0,51.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,UNIVERSIDAD DEL VALLE DE MÉXICO,183.0,84.0,99.0,183.0,84.0,99.0,183.0,339.0,381.0,720.0,38.0,39.0,77.0,38.0,39.0,77.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO,629.0,288.0,289.0,577.0,285.0,284.0,569.0,818.0,764.0,1582.0,93.0,117.0,210.0,93.0,115.0,208.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,UNIVERSIDAD LA CONCORDIA,1000.0,423.0,559.0,982.0,354.0,497.0,851.0,966.0,1538.0,2504.0,226.0,399.0,625.0,106.0,219.0,325.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,UNIVERSIDAD LAS AMÉRICAS DE CENTRO OCCIDENTE,237.0,96.0,133.0,229.0,84.0,116.0,200.0,221.0,301.0,522.0,13.0,26.0,39.0,0.0,0.0,0.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,UNIVERSIDAD PANAMERICANA,490.0,328.0,298.0,626.0,158.0,161.0,319.0,610.0,570.0,1180.0,111.0,105.0,216.0,56.0,60.0,116.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,UNIVERSIDAD CUAUHTÉMOC,975.0,423.0,426.0,849.0,313.0,313.0,626.0,895.0,704.0,1599.0,53.0,75.0,128.0,29.0,44.0,73.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,UNIVERSIDAD VILLASUNCION,350.0,146.0,266.0,412.0,87.0,155.0,242.0,183.0,309.0,492.0,31.0,64.0,95.0,26.0,18.0,44.0,1,2016-2017,private-onsite
AGUASCALIENTES,AGUASCALIENTES,UNIVERSIDAD BONAGENS,360.0,60.0,72.0,132.0,60.0,72.0,132.0,225.0,229.0,454.0,95.0,72.0,167.0,33.0,28.0,61.0,1,2016-2017,private-onsite
AGUASCALIENTES,RINCÓN DE ROMOS,INSTITUTO ALAMEDA A.C.,80.0,11.0,28.0,39.0,11.0,28.0,39.0,18.0,37.0,55.0,6.0,4.0,10.0,6.0,3.0,9.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,ENSENADA,CENTRO DE ENSEÑANZA TÉCNICA Y SUPERIOR,335.0,167.0,144.0,311.0,53.0,42.0,95.0,196.0,165.0,361.0,25.0,20.0,45.0,25.0,20.0,45.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,ENSENADA,CENTRO DE ESTUDIOS UNIVERSITARIOS XOCHICALCO,309.0,143.0,166.0,309.0,129.0,154.0,283.0,524.0,634.0,1158.0,107.0,94.0,201.0,19.0,15.0,34.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,ENSENADA,ESCUELA NORMAL PARTICULAR INCORPORADA,90.0,9.0,23.0,32.0,8.0,18.0,26.0,13.0,77.0,90.0,5.0,51.0,56.0,3.0,33.0,36.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,ENSENADA,INSTITUTO UNIVERSITARIO DE ENSENADA,430.0,42.0,34.0,76.0,42.0,34.0,76.0,125.0,100.0,225.0,6.0,8.0,14.0,0.0,0.0,0.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,ENSENADA,TECNOLÓGICO DE BAJA CALIFORNIA,60.0,1.0,3.0,4.0,0.0,0.0,0.0,8.0,12.0,20.0,0.0,0.0,0.0,1.0,14.0,15.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,ENSENADA,UNIVERSIDAD AUTÓNOMA DE DURANGO A.C.,140.0,67.0,69.0,136.0,37.0,68.0,105.0,81.0,151.0,232.0,12.0,21.0,33.0,0.0,0.0,0.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,ENSENADA,UNIVERSIDAD DEL DESARROLLO PROFESIONAL,135.0,58.0,77.0,135.0,58.0,77.0,135.0,216.0,276.0,492.0,23.0,66.0,89.0,19.0,32.0,51.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,ENSENADA,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO,149.0,244.0,293.0,537.0,33.0,64.0,97.0,99.0,182.0,281.0,21.0,43.0,64.0,17.0,57.0,74.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,ENSENADA,UNIVERSIDAD DE TIJUANA CUT,85.0,20.0,43.0,63.0,20.0,42.0,62.0,124.0,186.0,310.0,19.0,45.0,64.0,29.0,47.0,76.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,MEXICALI,CENTRO DE ENSEÑANZA TÉCNICA Y SUPERIOR,347.0,301.0,221.0,522.0,205.0,145.0,350.0,850.0,562.0,1412.0,141.0,121.0,262.0,147.0,121.0,268.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,MEXICALI,CENTRO DE ESTUDIOS SUPERIORES EN CIENCIAS PENALES A.C.,60.0,30.0,20.0,50.0,16.0,18.0,34.0,78.0,70.0,148.0,29.0,35.0,64.0,0.0,0.0,0.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,MEXICALI,CENTRO DE ESTUDIOS UNIVERSITARIOS 16 DE SEPTIEMBRE,453.0,152.0,166.0,318.0,152.0,166.0,318.0,509.0,511.0,1020.0,102.0,95.0,197.0,5.0,4.0,9.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,MEXICALI,CENTRO DE ESTUDIOS UNIVERSITARIOS XOCHICALCO,550.0,219.0,261.0,480.0,159.0,217.0,376.0,580.0,654.0,1234.0,87.0,83.0,170.0,44.0,58.0,102.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,MEXICALI,ESCUELA DE DISEÑO DE MODAS DE BAJA CALIFORNIA,15.0,3.0,3.0,6.0,3.0,3.0,6.0,4.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,MEXICALI,ESCUELA LIBRE DE DERECHO DE OCCIDENTE VILLAR BORJA,60.0,23.0,12.0,35.0,22.0,11.0,33.0,46.0,53.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,MEXICALI,"ESCUELA SUPERIOR DE COMERCIO EXTERIOR, A.C.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,55.0,12.0,18.0,30.0,17.0,12.0,29.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,MEXICALI,INSTITUTO SUPERIOR DE FILOSOFÍA,30.0,19.0,0.0,19.0,18.0,0.0,18.0,52.0,0.0,52.0,13.0,0.0,13.0,13.0,0.0,13.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,MEXICALI,UNIVERSIDAD AUTÓNOMA DE DURANGO A.C.,326.0,108.0,152.0,260.0,94.0,134.0,228.0,188.0,256.0,444.0,29.0,59.0,88.0,0.0,0.0,0.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,MEXICALI,UNIVERSIDAD DE ESTUDIOS AVANZADOS,77.0,34.0,43.0,77.0,34.0,43.0,77.0,132.0,167.0,299.0,13.0,43.0,56.0,26.0,52.0,78.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,MEXICALI,UNIVERSIDAD DEL VALLE DE MÉXICO,310.0,108.0,159.0,267.0,108.0,159.0,267.0,374.0,534.0,908.0,56.0,99.0,155.0,43.0,78.0,121.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,MEXICALI,UNIVERSIDAD VIZCAYA DE LAS AMÉRICAS,790.0,266.0,421.0,687.0,266.0,421.0,687.0,545.0,851.0,1396.0,64.0,122.0,186.0,6.0,23.0,29.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,MEXICALI,INSTITUTO INTERAMERICANO DE ESTUDIOS SUPERIORES DE BAJA CALIFORNIA S.C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,MEXICALI,UNIVERSIDAD DE TIJUANA CUT,120.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,44.0,3.0,51.0,54.0,12.0,46.0,58.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,PLAYAS DE ROSARITO,UNIVERSIDAD ROSARITENSE,58.0,27.0,41.0,68.0,17.0,28.0,45.0,81.0,100.0,181.0,8.0,13.0,21.0,14.0,26.0,40.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TECATE,"INPADE, INSTITUTO PARA EL DESARROLLO EMPRENDEDOR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,1.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TIJUANA,CENTRO DE ENSEÑANZA TÉCNICA Y SUPERIOR,438.0,248.0,175.0,423.0,232.0,153.0,385.0,899.0,632.0,1531.0,95.0,113.0,208.0,95.0,113.0,208.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TIJUANA,CENTRO DE ESTUDIOS SUPERIORES CECYT,72.0,26.0,46.0,72.0,26.0,46.0,72.0,58.0,126.0,184.0,10.0,26.0,36.0,0.0,12.0,12.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TIJUANA,CENTRO DE ESTUDIOS SUPERIORES DE LA FRONTERA (UNIFRONT),186.0,44.0,106.0,150.0,41.0,105.0,146.0,111.0,215.0,326.0,25.0,42.0,67.0,9.0,13.0,22.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TIJUANA,CENTRO DE ESTUDIOS SUPERIORES DEL NOROESTE,256.0,116.0,87.0,203.0,116.0,87.0,203.0,319.0,275.0,594.0,4.0,3.0,7.0,25.0,39.0,64.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TIJUANA,CENTRO DE ESTUDIOS SUPERIORES METROPOLITANO DE AGUA CALIENTE,50.0,3.0,3.0,6.0,3.0,3.0,6.0,13.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TIJUANA,"CENTRO DE ESTUDIOS SUPERIORES, CULINARY ART SCHOOL",73.0,33.0,45.0,78.0,22.0,31.0,53.0,80.0,108.0,188.0,25.0,22.0,47.0,2.0,13.0,15.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TIJUANA,CENTRO DE ESTUDIOS UNIVERSITARIOS XOCHICALCO,713.0,309.0,404.0,713.0,262.0,386.0,648.0,809.0,1246.0,2055.0,73.0,69.0,142.0,34.0,54.0,88.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TIJUANA,CENTRO DE INVESTIGACIÓN PARA EL DESARROLLO HUMANO CIDH UNIVERSIDAD,70.0,17.0,14.0,31.0,6.0,11.0,17.0,26.0,52.0,78.0,9.0,16.0,25.0,2.0,6.0,8.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TIJUANA,"CENTRO INTERNACIONAL DE ESTUDIOS SUPERIORES, A.C.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,35.0,63.0,28.0,41.0,69.0,14.0,20.0,34.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TIJUANA,CENTRO SUPERIOR DE PEDAGOGÍA MENTOR MEXICANO,30.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,35.0,38.0,6.0,32.0,38.0,3.0,21.0,24.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TIJUANA,CENTRO TECNOLÓGICO SIGLO XXI FUNDADORES,150.0,28.0,42.0,70.0,28.0,42.0,70.0,56.0,102.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TIJUANA,ESCUELA DE DANZA GLORIA CAMPOBELLO,30.0,5.0,25.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TIJUANA,ESCUELA DE TRABAJO SOCIAL DE TIJUANA,30.0,4.0,6.0,10.0,4.0,6.0,10.0,11.0,62.0,73.0,1.0,18.0,19.0,2.0,18.0,20.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TIJUANA,ESCUELA DEL PACIFICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17.0,38.0,6.0,10.0,16.0,9.0,7.0,16.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TIJUANA,ESCUELA NORMAL PARTICULAR AUTORIZADA COLEGIO ENSENADA,30.0,0.0,10.0,10.0,0.0,7.0,7.0,7.0,62.0,69.0,3.0,42.0,45.0,3.0,42.0,45.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,TIJUANA,ESCUELA SUPERIOR DE ARTES VISUALES,6.0,15.0,47.0,62.0,5.0,11.0,16.0,8.0,16.0,24.0,2.0,4.0,6.0,1.0,8.0,9.0,1,2016-2017,private-onsite
