State,Municipality,Institute,Offered_places,Applications_First_Entry_Male,Applications_First_Entry_Female,Applications_First_Entry_Total,First_Entry_Male,First_Entry_Female,First_Entry_Total,Enrollment_Male,Enrollment_women,Enrollment_Total,All_Graduate_Male,All_Graduate_Female,All_Graduate,Graduate_with_Diploma_Male,Graduate_with_Diploma_Female,Graduate_with_Diploma_Total,Count,period,modality
AGUASCALIENTES,AGUASCALIENTES,UNIVERSIDAD DEL VALLE DE MÉXICO,183.0,84.0,99.0,183.0,84.0,99.0,183.0,339.0,381.0,720.0,38.0,39.0,77.0,38.0,39.0,77.0,1,2016-2017,private-onsite
BAJA CALIFORNIA,MEXICALI,UNIVERSIDAD DEL VALLE DE MÉXICO,310.0,108.0,159.0,267.0,108.0,159.0,267.0,374.0,534.0,908.0,56.0,99.0,155.0,43.0,78.0,121.0,1,2016-2017,private-onsite
CHIAPAS,TUXTLA GUTIÉRREZ,UNIVERSIDAD DEL VALLE DE MÉXICO,564.0,259.0,196.0,455.0,237.0,169.0,406.0,796.0,706.0,1502.0,86.0,100.0,186.0,52.0,69.0,121.0,1,2016-2017,private-onsite
CHIHUAHUA,CHIHUAHUA,UNIVERSIDAD DEL VALLE DE MÉXICO,230.0,110.0,120.0,230.0,110.0,120.0,230.0,405.0,416.0,821.0,27.0,34.0,61.0,16.0,22.0,38.0,1,2016-2017,private-onsite
COAHUILA,SALTILLO,UNIVERSIDAD DEL VALLE DE MÉXICO,400.0,140.0,179.0,319.0,140.0,179.0,319.0,715.0,821.0,1536.0,96.0,97.0,193.0,16.0,4.0,20.0,1,2016-2017,private-onsite
COAHUILA,TORREÓN,UNIVERSIDAD DEL VALLE DE MÉXICO,145.0,53.0,81.0,134.0,50.0,78.0,128.0,280.0,409.0,689.0,68.0,59.0,127.0,56.0,65.0,121.0,1,2016-2017,private-onsite
CIUDAD DE MÉXICO,ÁLVARO OBREGÓN,UNIVERSIDAD DEL VALLE DE MÉXICO,211.0,82.0,87.0,169.0,82.0,87.0,169.0,353.0,282.0,635.0,40.0,40.0,80.0,27.0,26.0,53.0,1,2016-2017,private-onsite
CIUDAD DE MÉXICO,COYOACÁN,UNIVERSIDAD DEL VALLE DE MÉXICO,1689.0,750.0,861.0,1611.0,667.0,678.0,1345.0,2211.0,2376.0,4587.0,395.0,410.0,805.0,194.0,230.0,424.0,1,2016-2017,private-onsite
CIUDAD DE MÉXICO,CUAUHTÉMOC,UNIVERSIDAD DEL VALLE DE MÉXICO,845.0,247.0,224.0,471.0,188.0,179.0,367.0,1471.0,1636.0,3107.0,172.0,179.0,351.0,131.0,181.0,312.0,1,2016-2017,private-onsite
CIUDAD DE MÉXICO,MIGUEL HIDALGO,UNIVERSIDAD DEL VALLE DE MÉXICO,153.0,65.0,88.0,153.0,31.0,72.0,103.0,136.0,238.0,374.0,20.0,31.0,51.0,10.0,13.0,23.0,1,2016-2017,private-onsite
CIUDAD DE MÉXICO,TLALPAN,UNIVERSIDAD DEL VALLE DE MÉXICO,730.0,352.0,346.0,698.0,328.0,321.0,649.0,1187.0,1148.0,2335.0,350.0,362.0,712.0,303.0,306.0,609.0,1,2016-2017,private-onsite
JALISCO,SAN PEDRO TLAQUEPAQUE,UNIVERSIDAD DEL VALLE DE MÉXICO,273.0,163.0,134.0,297.0,163.0,134.0,297.0,681.0,632.0,1313.0,132.0,127.0,259.0,99.0,135.0,234.0,1,2016-2017,private-onsite
JALISCO,ZAPOPAN,UNIVERSIDAD DEL VALLE DE MÉXICO,855.0,213.0,382.0,595.0,175.0,289.0,464.0,1058.0,1244.0,2302.0,156.0,167.0,323.0,36.0,74.0,110.0,1,2016-2017,private-onsite
MÉXICO,COACALCO DE BERRIOZÁBAL,UNIVERSIDAD DEL VALLE DE MÉXICO,898.0,442.0,448.0,890.0,442.0,448.0,890.0,1485.0,1470.0,2955.0,239.0,304.0,543.0,216.0,276.0,492.0,1,2016-2017,private-onsite
MÉXICO,CUAUTITLÁN IZCALLI,UNIVERSIDAD DEL VALLE DE MÉXICO,456.0,244.0,228.0,472.0,168.0,150.0,318.0,649.0,713.0,1362.0,50.0,78.0,128.0,15.0,25.0,40.0,1,2016-2017,private-onsite
MÉXICO,METEPEC,UNIVERSIDAD DEL VALLE DE MÉXICO,963.0,464.0,437.0,901.0,429.0,344.0,773.0,1749.0,1441.0,3190.0,221.0,253.0,474.0,175.0,157.0,332.0,1,2016-2017,private-onsite
MÉXICO,NAUCALPAN DE JUÁREZ,UNIVERSIDAD DEL VALLE DE MÉXICO,1491.0,880.0,611.0,1491.0,638.0,467.0,1105.0,2355.0,2010.0,4365.0,455.0,468.0,923.0,17.0,11.0,28.0,1,2016-2017,private-onsite
MÉXICO,TEXCOCO,UNIVERSIDAD DEL VALLE DE MÉXICO,495.0,245.0,250.0,495.0,208.0,223.0,431.0,750.0,924.0,1674.0,66.0,108.0,174.0,66.0,108.0,174.0,1,2016-2017,private-onsite
MORELOS,TEMIXCO,UNIVERSIDAD DEL VALLE DE MÉXICO,531.0,192.0,155.0,347.0,181.0,139.0,320.0,532.0,476.0,1008.0,41.0,55.0,96.0,13.0,32.0,45.0,1,2016-2017,private-onsite
NUEVO LEÓN,MONTERREY,UNIVERSIDAD DEL VALLE DE MÉXICO,484.0,243.0,241.0,484.0,243.0,241.0,484.0,882.0,842.0,1724.0,209.0,267.0,476.0,25.0,23.0,48.0,1,2016-2017,private-onsite
NUEVO LEÓN,SAN NICOLÁS DE LOS GARZA,UNIVERSIDAD DEL VALLE DE MÉXICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,43.0,55.0,0.0,1.0,1.0,0.0,1.0,1.0,1,2016-2017,private-onsite
PUEBLA,SAN ANDRÉS CHOLULA,UNIVERSIDAD DEL VALLE DE MÉXICO,630.0,273.0,308.0,581.0,273.0,308.0,581.0,708.0,804.0,1512.0,109.0,108.0,217.0,104.0,90.0,194.0,1,2016-2017,private-onsite
QUERÉTARO,QUERÉTARO,UNIVERSIDAD DEL VALLE DE MÉXICO,1137.0,501.0,545.0,1046.0,422.0,483.0,905.0,1644.0,2169.0,3813.0,203.0,260.0,463.0,182.0,238.0,420.0,1,2016-2017,private-onsite
