Institute,UNIVERSIDAD DEL VALLE DE MÉXICO,UNIVERSIDAD DEL VALLE DE MÉXICO,UNIVERSIDAD DEL VALLE DE MÉXICO,UNIVERSIDAD DEL VALLE DE MÉXICO
period,2016-2017,2017-2018,2018-2019,2019-2020
Applications_First_Entry_Male,9663.0,12024.0,13712.0,16248.0
Applications_First_Entry_Female,9672.0,11308.0,13415.0,17617.0
Applications_First_Entry_Total,19335.0,23332.0,27127.0,33865.0
First_Entry_Male,8825.0,9702.0,8895.0,12908.0
First_Entry_Female,8613.0,8566.0,8581.0,13923.0
First_Entry_Total,17438.0,18268.0,17476.0,26831.0
Enrollment_Male,32390.0,34822.0,33488.0,38412.0
Enrollment_women,33176.0,34620.0,34102.0,41028.0
Enrollment_Total,65566.0,69442.0,67590.0,79440.0
All_Graduate_Male,5338.0,5578.0,4598.0,5698.0
All_Graduate_Female,5745.0,6224.0,5295.0,6556.0
All_Graduate,11083.0,11802.0,9893.0,12254.0
Graduate_with_Diploma_Male,3234.0,3806.0,3081.0,4460.0
Graduate_with_Diploma_Female,3649.0,4308.0,3406.0,5292.0
Graduate_with_Diploma_Total,6883.0,8114.0,6487.0,9752.0
